date,geo,component,price_index,status,year,month
1981-04-01,"St. John's, Newfoundland and Labrador",House only,37.5,,1981,4
1981-04-01,"St. John's, Newfoundland and Labrador",Land only,31.8,E,1981,4
1981-04-01,"Halifax, Nova Scotia",Land only,32.5,E,1981,4
1981-04-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),56.2,,1981,4
1981-04-01,"Saint John, Fredericton, and Moncton, New Brunswick",House only,62.1,,1981,4
1981-04-01,"Saint John, Fredericton, and Moncton, New Brunswick",Land only,38.0,E,1981,4
1981-04-01,"Québec, Quebec",Total (house and land),31.0,,1981,4
1981-04-01,"Québec, Quebec",House only,35.7,,1981,4
1981-04-01,"Québec, Quebec",Land only,20.9,E,1981,4
1981-04-01,"Montréal, Quebec",Total (house and land),29.3,,1981,4
1981-04-01,"Montréal, Quebec",House only,30.8,,1981,4
1981-04-01,"Montréal, Quebec",Land only,21.0,E,1981,4
1981-04-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),33.7,,1981,4
1981-04-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,32.0,,1981,4
1981-04-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Land only,40.6,E,1981,4
1981-04-01,"Toronto, Ontario",Total (house and land),31.2,,1981,4
1981-04-01,"Toronto, Ontario",House only,26.5,,1981,4
1981-04-01,"Toronto, Ontario",Land only,40.0,E,1981,4
1981-04-01,"Hamilton, Ontario",Total (house and land),31.0,,1981,4
1981-04-01,"Hamilton, Ontario",House only,25.6,,1981,4
1981-04-01,"Hamilton, Ontario",Land only,46.3,E,1981,4
1981-04-01,"St. Catharines-Niagara, Ontario",Total (house and land),30.8,,1981,4
1981-04-01,"St. Catharines-Niagara, Ontario",House only,28.6,,1981,4
1981-04-01,"St. Catharines-Niagara, Ontario",Land only,35.6,E,1981,4
1981-04-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),34.6,,1981,4
1981-04-01,"Kitchener-Cambridge-Waterloo, Ontario",House only,31.1,,1981,4
1981-04-01,"Kitchener-Cambridge-Waterloo, Ontario",Land only,43.5,E,1981,4
1981-04-01,"London, Ontario",Total (house and land),33.3,,1981,4
1981-04-01,"London, Ontario",House only,28.6,,1981,4
1981-04-01,"London, Ontario",Land only,51.6,E,1981,4
1981-04-01,"Windsor, Ontario",Total (house and land),60.6,,1981,4
1981-04-01,"Windsor, Ontario",House only,63.9,,1981,4
1981-04-01,"Windsor, Ontario",Land only,47.5,E,1981,4
1981-04-01,"Greater Sudbury, Ontario",Total (house and land),56.9,,1981,4
1981-04-01,"Greater Sudbury, Ontario",House only,57.0,,1981,4
1981-04-01,"Greater Sudbury, Ontario",Land only,53.7,E,1981,4
1981-04-01,"Winnipeg, Manitoba",Total (house and land),27.4,,1981,4
1981-04-01,"Winnipeg, Manitoba",House only,30.5,,1981,4
1981-04-01,"Winnipeg, Manitoba",Land only,18.9,E,1981,4
1981-04-01,"Regina, Saskatchewan",Total (house and land),21.3,,1981,4
1981-04-01,"Regina, Saskatchewan",House only,22.4,,1981,4
1981-04-01,"Regina, Saskatchewan",Land only,17.8,E,1981,4
1981-04-01,"Saskatoon, Saskatchewan",Total (house and land),34.6,,1981,4
1981-04-01,"Saskatoon, Saskatchewan",House only,37.3,,1981,4
1981-04-01,"Saskatoon, Saskatchewan",Land only,27.6,E,1981,4
1981-04-01,"Calgary, Alberta",Total (house and land),26.7,,1981,4
1981-04-01,"Calgary, Alberta",House only,30.1,,1981,4
1981-04-01,"Calgary, Alberta",Land only,19.8,E,1981,4
1981-04-01,"Edmonton, Alberta",Total (house and land),36.1,,1981,4
1981-04-01,"Edmonton, Alberta",House only,36.9,,1981,4
1981-04-01,"Edmonton, Alberta",Land only,32.9,E,1981,4
1981-04-01,"Vancouver, British Columbia",Total (house and land),91.8,,1981,4
1981-04-01,"Vancouver, British Columbia",House only,97.7,,1981,4
1981-04-01,"Vancouver, British Columbia",Land only,84.2,E,1981,4
1981-04-01,"Victoria, British Columbia",Total (house and land),130.8,,1981,4
1981-04-01,"Victoria, British Columbia",House only,210.6,,1981,4
1981-04-01,"Victoria, British Columbia",Land only,50.9,E,1981,4
1981-05-01,Canada,Total (house and land),40.6,,1981,5
1981-05-01,Canada,House only,38.9,,1981,5
1981-05-01,Canada,Land only,41.5,E,1981,5
1981-05-01,"St. John's, Newfoundland and Labrador",Total (house and land),36.4,,1981,5
1981-05-01,"St. John's, Newfoundland and Labrador",House only,37.7,,1981,5
1981-05-01,"St. John's, Newfoundland and Labrador",Land only,31.9,E,1981,5
1981-05-01,"Halifax, Nova Scotia",Land only,32.5,E,1981,5
1981-05-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),57.2,,1981,5
1981-05-01,"Saint John, Fredericton, and Moncton, New Brunswick",House only,63.3,,1981,5
1981-05-01,"Saint John, Fredericton, and Moncton, New Brunswick",Land only,38.0,E,1981,5
1981-05-01,"Québec, Quebec",Total (house and land),31.4,,1981,5
1981-05-01,"Québec, Quebec",House only,36.1,,1981,5
1981-05-01,"Québec, Quebec",Land only,21.2,E,1981,5
1981-05-01,"Montréal, Quebec",Total (house and land),29.7,,1981,5
1981-05-01,"Montréal, Quebec",House only,31.1,,1981,5
1981-05-01,"Montréal, Quebec",Land only,21.3,E,1981,5
1981-05-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),34.3,,1981,5
1981-05-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,32.7,,1981,5
1981-05-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Land only,40.8,E,1981,5
1981-05-01,"Toronto, Ontario",Total (house and land),32.3,,1981,5
1981-05-01,"Toronto, Ontario",House only,27.7,,1981,5
1981-05-01,"Toronto, Ontario",Land only,40.1,E,1981,5
1981-05-01,"Hamilton, Ontario",Total (house and land),32.6,,1981,5
1981-05-01,"Hamilton, Ontario",House only,26.4,,1981,5
1981-05-01,"Hamilton, Ontario",Land only,50.2,E,1981,5
1981-05-01,"St. Catharines-Niagara, Ontario",Total (house and land),31.0,,1981,5
1981-05-01,"St. Catharines-Niagara, Ontario",House only,28.9,,1981,5
1981-05-01,"St. Catharines-Niagara, Ontario",Land only,35.6,E,1981,5
1981-05-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),34.6,,1981,5
1981-05-01,"Kitchener-Cambridge-Waterloo, Ontario",House only,31.1,,1981,5
1981-05-01,"Kitchener-Cambridge-Waterloo, Ontario",Land only,43.5,E,1981,5
1981-05-01,"London, Ontario",Total (house and land),33.3,,1981,5
1981-05-01,"London, Ontario",House only,28.6,,1981,5
1981-05-01,"London, Ontario",Land only,51.6,E,1981,5
1981-05-01,"Windsor, Ontario",Total (house and land),60.6,,1981,5
1981-05-01,"Windsor, Ontario",House only,63.9,,1981,5
1981-05-01,"Windsor, Ontario",Land only,47.5,E,1981,5
1981-05-01,"Greater Sudbury, Ontario",Total (house and land),56.9,,1981,5
1981-05-01,"Greater Sudbury, Ontario",House only,57.0,,1981,5
1981-05-01,"Greater Sudbury, Ontario",Land only,53.7,E,1981,5
1981-05-01,"Winnipeg, Manitoba",Total (house and land),27.9,,1981,5
1981-05-01,"Winnipeg, Manitoba",House only,31.1,,1981,5
1981-05-01,"Winnipeg, Manitoba",Land only,18.9,E,1981,5
1981-05-01,"Regina, Saskatchewan",Total (house and land),21.9,,1981,5
1981-05-01,"Regina, Saskatchewan",House only,23.1,,1981,5
1981-05-01,"Regina, Saskatchewan",Land only,17.8,E,1981,5
1981-05-01,"Saskatoon, Saskatchewan",Total (house and land),34.8,,1981,5
1981-05-01,"Saskatoon, Saskatchewan",House only,37.7,,1981,5
1981-05-01,"Saskatoon, Saskatchewan",Land only,27.6,E,1981,5
1981-05-01,"Calgary, Alberta",Total (house and land),26.7,,1981,5
1981-05-01,"Calgary, Alberta",House only,30.1,,1981,5
1981-05-01,"Calgary, Alberta",Land only,19.8,E,1981,5
1981-05-01,"Edmonton, Alberta",Total (house and land),37.3,,1981,5
1981-05-01,"Edmonton, Alberta",House only,38.2,,1981,5
1981-05-01,"Edmonton, Alberta",Land only,33.6,E,1981,5
1981-05-01,"Vancouver, British Columbia",Total (house and land),91.8,,1981,5
1981-05-01,"Vancouver, British Columbia",House only,97.7,,1981,5
1981-05-01,"Vancouver, British Columbia",Land only,84.2,E,1981,5
1981-05-01,"Victoria, British Columbia",Total (house and land),132.5,,1981,5
1981-05-01,"Victoria, British Columbia",House only,212.4,,1981,5
1981-05-01,"Victoria, British Columbia",Land only,52.1,E,1981,5
1981-06-01,Canada,Total (house and land),40.8,,1981,6
1981-06-01,Canada,House only,39.1,,1981,6
1981-06-01,Canada,Land only,41.6,E,1981,6
1981-06-01,"St. John's, Newfoundland and Labrador",Total (house and land),36.4,,1981,6
1981-06-01,"St. John's, Newfoundland and Labrador",House only,37.7,,1981,6
1981-06-01,"St. John's, Newfoundland and Labrador",Land only,31.9,E,1981,6
1981-06-01,"Halifax, Nova Scotia",Land only,32.5,E,1981,6
1981-06-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),57.2,,1981,6
1981-06-01,"Saint John, Fredericton, and Moncton, New Brunswick",House only,63.3,,1981,6
1981-06-01,"Saint John, Fredericton, and Moncton, New Brunswick",Land only,38.0,E,1981,6
1981-06-01,"Québec, Quebec",Total (house and land),31.4,,1981,6
1981-06-01,"Québec, Quebec",House only,36.1,,1981,6
1981-06-01,"Québec, Quebec",Land only,21.2,E,1981,6
1981-06-01,"Montréal, Quebec",Total (house and land),30.0,,1981,6
1981-06-01,"Montréal, Quebec",House only,31.5,,1981,6
1981-06-01,"Montréal, Quebec",Land only,21.7,E,1981,6
1981-06-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),34.8,,1981,6
1981-06-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,33.5,,1981,6
1981-06-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Land only,40.8,E,1981,6
1981-06-01,"Toronto, Ontario",Total (house and land),32.3,,1981,6
1981-06-01,"Toronto, Ontario",House only,27.7,,1981,6
1981-06-01,"Toronto, Ontario",Land only,40.1,E,1981,6
1981-06-01,"Hamilton, Ontario",Total (house and land),32.7,,1981,6
1981-06-01,"Hamilton, Ontario",House only,26.6,,1981,6
1981-06-01,"Hamilton, Ontario",Land only,50.2,E,1981,6
1981-06-01,"St. Catharines-Niagara, Ontario",Total (house and land),31.2,,1981,6
1981-06-01,"St. Catharines-Niagara, Ontario",House only,29.2,,1981,6
1981-06-01,"St. Catharines-Niagara, Ontario",Land only,35.6,E,1981,6
1981-06-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),34.9,,1981,6
1981-06-01,"Kitchener-Cambridge-Waterloo, Ontario",House only,31.4,,1981,6
1981-06-01,"Kitchener-Cambridge-Waterloo, Ontario",Land only,43.7,E,1981,6
1981-06-01,"London, Ontario",Total (house and land),33.6,,1981,6
1981-06-01,"London, Ontario",House only,29.1,,1981,6
1981-06-01,"London, Ontario",Land only,51.6,E,1981,6
1981-06-01,"Windsor, Ontario",Total (house and land),60.6,,1981,6
1981-06-01,"Windsor, Ontario",House only,63.9,,1981,6
1981-06-01,"Windsor, Ontario",Land only,47.5,E,1981,6
1981-06-01,"Greater Sudbury, Ontario",Total (house and land),57.1,,1981,6
1981-06-01,"Greater Sudbury, Ontario",House only,57.2,,1981,6
1981-06-01,"Greater Sudbury, Ontario",Land only,53.7,E,1981,6
1981-06-01,"Winnipeg, Manitoba",Total (house and land),28.4,,1981,6
1981-06-01,"Winnipeg, Manitoba",House only,31.8,,1981,6
1981-06-01,"Winnipeg, Manitoba",Land only,19.0,E,1981,6
1981-06-01,"Regina, Saskatchewan",Total (house and land),21.9,,1981,6
1981-06-01,"Regina, Saskatchewan",House only,23.1,,1981,6
1981-06-01,"Regina, Saskatchewan",Land only,17.8,E,1981,6
1981-06-01,"Saskatoon, Saskatchewan",Total (house and land),35.0,,1981,6
1981-06-01,"Saskatoon, Saskatchewan",House only,38.0,,1981,6
1981-06-01,"Saskatoon, Saskatchewan",Land only,27.6,E,1981,6
1981-06-01,"Calgary, Alberta",Total (house and land),27.1,,1981,6
1981-06-01,"Calgary, Alberta",House only,30.6,,1981,6
1981-06-01,"Calgary, Alberta",Land only,20.0,E,1981,6
1981-06-01,"Edmonton, Alberta",Total (house and land),37.4,,1981,6
1981-06-01,"Edmonton, Alberta",House only,38.4,,1981,6
1981-06-01,"Edmonton, Alberta",Land only,33.6,E,1981,6
1981-06-01,"Vancouver, British Columbia",Total (house and land),91.9,,1981,6
1981-06-01,"Vancouver, British Columbia",House only,98.2,,1981,6
1981-06-01,"Vancouver, British Columbia",Land only,84.2,E,1981,6
1981-06-01,"Victoria, British Columbia",Total (house and land),132.8,,1981,6
1981-06-01,"Victoria, British Columbia",House only,210.6,,1981,6
1981-06-01,"Victoria, British Columbia",Land only,52.9,E,1981,6
1981-07-01,Canada,Total (house and land),40.8,,1981,7
1981-07-01,Canada,House only,39.2,,1981,7
1981-07-01,Canada,Land only,41.6,E,1981,7
1981-07-01,"St. John's, Newfoundland and Labrador",Total (house and land),36.4,,1981,7
1981-07-01,"St. John's, Newfoundland and Labrador",House only,37.7,,1981,7
1981-07-01,"St. John's, Newfoundland and Labrador",Land only,31.9,E,1981,7
1981-07-01,"Halifax, Nova Scotia",Land only,32.5,E,1981,7
1981-07-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),57.4,,1981,7
1981-07-01,"Saint John, Fredericton, and Moncton, New Brunswick",House only,63.6,,1981,7
1981-07-01,"Saint John, Fredericton, and Moncton, New Brunswick",Land only,38.0,E,1981,7
1981-07-01,"Québec, Quebec",Total (house and land),31.4,,1981,7
1981-07-01,"Québec, Quebec",House only,36.2,,1981,7
1981-07-01,"Québec, Quebec",Land only,21.2,E,1981,7
1981-07-01,"Montréal, Quebec",Total (house and land),30.2,,1981,7
1981-07-01,"Montréal, Quebec",House only,31.7,,1981,7
1981-07-01,"Montréal, Quebec",Land only,21.7,E,1981,7
1981-07-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),34.9,,1981,7
